DATA PUBLICAÇÃO;EDITORIA/COLUNISTA;FORMATO;ATIVIDADE;LINK MATERIA;NOME;;
01/12/2023;Coordenação;PROGRAMAÇÃO;SIMULADOR;https://gauchazh.clicrbs.com.br/esportes/brasileirao/noticia/2023/12/simulador-do-brasileirao-2023-clpk64kgb003i014lxi3c0a9g.html;Simulador Brasileirão 2023;;
11/12/2023;Esporte;PROGRAMAÇÃO;MAPA INTERATIVO;https://gauchazh.clicrbs.com.br/esportes/gremio/noticia/2023/12/como-foi-a-festa-da-chegada-do-gremio-campeao-mundial-em-1983-clpx2aczj003b0170yamclrwy.html;Festa da chegada do Grêmio campeão mundial em 1983;;
11/12/2023;Coordenação;PROGRAMAÇÃO;QUIZ;https://gauchazh.clicrbs.com.br/educacao/noticia/2023/12/voce-ganharia-r-1-milhao-faca-o-quiz-de-quem-quer-ser-um-milionario-clq14hx7z001z011wefltk4b9.html;"""Quem Quer Ser Um Milionário?""";;
19/12/2023;Coordenação;PROGRAMAÇÃO;CALCULADORA;https://gauchazh.clicrbs.com.br/economia/noticia/2023/12/veja-na-calculadora-o-que-vale-mais-a-pena-entre-comprar-um-carro-ou-assinar-clqbct42d003w013yhuh5zwi8.html;Comprar ou assinar um carro?;;
19/12/2023;Economia;PROGRAMAÇÃO;CALCULADORA;https://gauchazh.clicrbs.com.br/economia/noticia/2023/12/assinatura-de-carros-leva-locadoras-a-ter-maior-frota-da-historia-saiba-como-funciona-e-calcule-as-condicoes-clqbbz83y003c015eh5evk5ao.html;"Assinatura de carros leva locadoras a ter maior frota da história; saiba como funciona e calcule as condições";;
20/12/2023;Saúde;PROGRAMAÇÃO;CALCULADORA;https://gauchazh.clicrbs.com.br/saude/noticia/2023/12/quanta-agua-devo-beber-por-dia-calculadora-de-gzh-estima-quantidade-clqczv3220059013u66ktggpr.html#:~:text=Organiza%C3%A7%C3%A3o%20Mundial%20da%20Sa%C3%BAde%20(OMS,do%20l%C3%ADquido%20para%20cada%20quilo&text=O%20consumo%20de%20%C3%A1gua%20%C3%A9%20essencial%20para%20o%20funcionamento%20do%20corpo%20humano;Quanta água devo beber por dia?;;
27/12/2023;Coordenação;PROGRAMAÇÃO;CALCULADORA;https://gauchazh.clicrbs.com.br/economia/noticia/2023/12/como-parcelar-o-ipva-em-2024-calculadora-simula-valor-de-parcelas-clqdxywrx001k013yjfbqjy4w.html;Simular valor de parcelas IPVA 2024;;
28/12/2023;Porto Alegre;PROGRAMAÇÃO;CALCULADORA;https://gauchazh.clicrbs.com.br/porto-alegre/noticia/2023/12/iptu-2024-simule-valores-do-imposto-em-porto-alegre-clqpo9qdc004w013qkwazpr7x.html;Simule valores do IPTU em Porto Alegre;;
09/01/2024;Cultura;PROGRAMAÇÃO;QUIZ;https://gauchazh.clicrbs.com.br/cultura-e-lazer/tv/noticia/2024/01/qual-vencedor-do-bbb-voce-e-clr1837si005g015c9gfvpwb2.html;Qual vencedor do BBB você é?;;
10/01/2024;Esporte;PROGRAMAÇÃO;QUIZ;https://gauchazh.clicrbs.com.br/esportes/gauchao/noticia/2024/01/voce-conhece-as-casas-do-gauchao-entre-no-quiz-e-participe-clr5el924004s0147a7lts41a.html;Você conhece as casas do Gauchão?;;
13/01/2024;Esporte;PROGRAMAÇÃO;QUIZ;https://gauchazh.clicrbs.com.br/colunistas/guerrinha/noticia/2024/01/qual-vai-ser-o-time-do-gremio-na-estreia-do-gauchao-clrb61eap005b01426ynvrt5c.html;Qual vai ser o time do Grêmio na estreia do Gauchão?;;
15/01/2024;Coordenação;PROGRAMAÇÃO;CALCULADORA;https://gauchazh.clicrbs.com.br/economia/noticia/2024/01/calcule-quanto-voce-gasta-do-seu-salario-com-as-despesas-de-inicio-de-ano-clrf6yiwa003c013xv158e5nz.html;Despesas de início de ano;;
15/01/2024;Comportamento;PROGRAMAÇÃO;SIMULADOR;https://gauchazh.clicrbs.com.br/educacao/enem/noticia/2024/01/simulador-do-sisu-veja-quais-as-suas-chances-de-entrar-no-curso-dos-sonhos-clrf6rh4j003b01500adnckcu.html;Simulador do Sisu 2024;;
15/01/2024;Esporte;PROGRAMAÇÃO;QUIZ;https://gauchazh.clicrbs.com.br/colunistas/pedro-ernesto-denardin/noticia/2024/01/o-gauchao-2024-sera-diferenciado-veja-video-clrf9w1gd003v013xg0rduwbk.html;"O Gauchão 2024 será diferenciado; veja vídeo";;
17/01/2024;Educação;PROGRAMAÇÃO;CALCULADORA;https://gauchazh.clicrbs.com.br/educacao/educacao-basica/noticia/2024/01/quantos-quilos-meu-filho-pode-carregar-calculadora-estima-peso-ideal-da-mochila-clr6eqgso001a014sedj7xqbw.html;Quantos quilos meu filho pode carregar?;;
18/01/2024;Esporte;PROGRAMAÇÃO;QUIZ;https://gauchazh.clicrbs.com.br/esportes/gauchao/noticia/2024/01/qual-desses-10-clubes-do-gauchao-tem-mais-a-ver-com-voce-clri16yaz003i01501x2vx51i.html;Qual desses 10 clubes do Gauchão tem mais a ver com você?;;
02/02/2024;Esporte;PROGRAMAÇÃO;QUIZ;https://gauchazh.clicrbs.com.br/esportes/gauchao/noticia/2024/02/lembra-de-todos-os-artilheiros-do-gauchao-desde-1961-faca-o-teste-e-descubra-cls3jn99k002n015bhpsy221l.html;Lembra de todos os artilheiros do Gauchão desde 1961?;;
02/02/2024;Ambiente;PROGRAMAÇÃO;MAPA INTERATIVO;https://gauchazh.clicrbs.com.br/ambiente/noticia/2024/02/confira-as-regioes-e-cidades-do-rs-com-mais-registros-de-desastres-naturais-nos-ultimos-32-anos-clrtjty050030015ni9078b60.html;Confira as regiões do RS com registros de desastres naturais;;
08/02/2024;Economia;PROGRAMAÇÃO;CALCULADORA;https://gauchazh.clicrbs.com.br/economia/noticia/2024/02/saque-aniversario-do-fgts-calcule-quanto-voce-pode-receber-cls3arojb001k015b13zs0whd.html;Saque-aniversário do FGTS;;
13/02/2024;Esporte;PROGRAMAÇÃO;QUIZ;https://gauchazh.clicrbs.com.br/esportes/noticia/2024/02/champions-league-e-futebol-gaucho-teste-o-que-voce-sabe-sobre-essa-relacao-clsj7bkhb004s017xuuz7z4b1.html;Champions League e futebol gaúcho?;;
13/02/2024;Saúde;PROGRAMAÇÃO;MAPA INTERATIVO;https://gauchazh.clicrbs.com.br/saude/noticia/2024/02/em-mapa-veja-qual-a-situacao-da-dengue-na-sua-cidade-clskc9g0f001c017xvw50oixr.html;Veja qual a situação da dengue na sua cidade;;
16/02/2024;Economia;PROGRAMAÇÃO;CALCULADORA;https://gauchazh.clicrbs.com.br/economia/noticia/2024/02/calcule-quanto-sera-cobrado-de-ir-sobre-seu-salario-com-mudanca-na-faixa-de-isencao-clsoxl2z1004p017xj358e8so.html;Calcule quanto será cobrado de IR sobre seu salário com mudança na faixa de isenção;;
21/02/2024;Esporte;PROGRAMAÇÃO;SIMULADOR;https://gauchazh.clicrbs.com.br/esportes/gremio/noticia/2024/02/escale-o-time-do-gremio-para-o-gre-nal-441-clsutyumn008x017yl7l3t4kz.html;Escale o time do Grêmio para o Gre-Nal 441;;
21/02/2024;Esporte;PROGRAMAÇÃO;SIMULADOR;https://gauchazh.clicrbs.com.br/esportes/inter/noticia/2024/02/escale-o-time-do-inter-para-o-gre-nal-441-clsuurljv009k017ym5f3r7dh.html;Escale o time do Inter para o Gre-Nal 441;;
28/02/2024;Economia;PROGRAMAÇÃO;CALCULADORA;https://gauchazh.clicrbs.com.br/economia/noticia/2024/02/calculadora-do-saldo-do-fgts-saiba-quanto-voce-podera-receber-clskc44nb0015014l1j7kik8x.html;Calculadora do saldo do FGTS;;
01/03/2024;Esporte;PROGRAMAÇÃO;INFOGRAFICO;https://gauchazh.clicrbs.com.br/esportes/automobilismo/noticia/2024/03/guia-da-formula-1-saiba-quais-sao-as-equipes-e-os-pilotos-da-temporada-2024-clt65x4c2008c01911x4oato6.html;Guia da Fórmula 1;;
04/03/2024;Esporte;PROGRAMAÇÃO;INFOGRAFICO;https://gauchazh.clicrbs.com.br/esportes/olimpiada/noticia/2024/03/a-relacao-investimento-e-conquista-de-medalhas-nos-paises-sedes-dos-jogos-olimpicos-clsz6s60g00cl017y2pxn0zm5.html;Galeria de gráficos de barra dos países sede medalhistas olímpicos;;
